Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d,trading_date,volume (24h)
1.0,BTCBitcoin,BTC,1488566971.96,134.21,11091325,0.64,0.0,0.0,2013/04/28,0.0
2.0,LTCLitecoin,LTC,74637021.57,4.3484,17164230,0.8,0.0,0.0,2013/04/28,0.0
3.0,PPCPeercoin,PPC,7250186.65,0.3865,18757362,0.93,0.0,0.0,2013/04/28,0.0
4.0,NMCNamecoin,NMC,5995997.19,1.1072,5415300,0.05,0.0,0.0,2013/04/28,0.0
5.0,TRCTerracoin,TRC,1503099.4,0.6469,2323570,0.61,0.0,0.0,2013/04/28,0.0
6.0,DVCDevcoin,DVC,1424087.3,0.0003261,4366620160,0.46,0.0,0.0,2013/04/28,0.0
7.0,NVCNovacoin,NVC,1162266.3,4.2464,273706,2.14,0.0,0.0,2013/04/28,0.0
1.0,BTCBitcoin,BTC,1288693216.22,115.91,11118050,0.43,2.97,13.81,2013/05/05,0.0
2.0,LTCLitecoin,LTC,62298217.32,3.5909,17348954,0.1,2.87,16.72,2013/05/05,0.0
3.0,NMCNamecoin,NMC,6290543.05,1.151,5465350,1.19,8.91,1.64,2013/05/05,0.0
4.0,PPCPeercoin,PPC,5718446.46,0.3037,18830240,0.31,2.61,22.2,2013/05/05,0.0
5.0,FTCFeathercoin,FTC,2017436.23,0.313,6444650,12.81,29.71,0.0,2013/05/05,0.0
6.0,FRCFreicoin,FRC,1627438.51,0.08114,20057908,14.89,23.15,0.0,2013/05/05,0.0
7.0,TRCTerracoin,TRC,1367162.39,0.568,2407150,1.13,3.05,12.34,2013/05/05,0.0
8.0,DVCDevcoin,DVC,1052081.53,0.0002388,4406170112,0.63,12.41,27.21,2013/05/05,0.0
9.0,NVCNovacoin,NVC,1015804.46,3.6871,275503,1.26,5.17,11.72,2013/05/05,0.0
10.0,MNCMincoin,MNC,118657.23,0.1159,1023701,0.31,60.48,0.0,2013/05/05,0.0
1.0,BTCBitcoin,BTC,1281982625.0,115.0,11147675,0.03,0.41,1.88,2013/05/12,0.0
2.0,LTCLitecoin,LTC,57513319.09,3.2694,17591130,0.17,2.61,9.91,2013/05/12,0.0
3.0,NMCNamecoin,NMC,4674413.4,0.8464,5522700,0.02,0.61,26.82,2013/05/12,0.0
4.0,PPCPeercoin,PPC,4585556.07,0.2427,18897820,1.2,4.88,21.46,2013/05/12,0.0
5.0,NVCNovacoin,NVC,984531.38,3.5201,279685,0.1,0.28,4.43,2013/05/12,0.0
6.0,DVCDevcoin,DVC,983447.61,0.0002208,4454020096,0.58,3.67,8.65,2013/05/12,0.0
7.0,TRCTerracoin,TRC,954262.84,0.3807,2506930,1.02,5.49,33.23,2013/05/12,0.0
8.0,FTCFeathercoin,FTC,820221.45,0.1253,6543450,0.48,5.69,63.3,2013/05/12,0.0
9.0,FRCFreicoin,FRC,748241.76,0.03596,20807988,0.02,20.35,59.81,2013/05/12,0.0
10.0,CNCCHNCoin,CNC,489370.4,0.0966,5065946,2.83,11.26,0.0,2013/05/12,0.0
11.0,MNCMincoin,MNC,247203.65,0.237,1042987,0.03,8.04,90.65,2013/05/12,0.0
12.0,BQCBBQCoin,BQC,156410.47,0.0092,17001138,2.7,15.27,0.0,2013/05/12,0.0
13.0,IXCIxcoin,IXC,147029.97,0.01162,12653618,0.33,16.83,0.0,2013/05/12,0.0
14.0,BTBBitBar,BTB,82905.8,28.86,2872,13.72,35.3,0.0,2013/05/12,0.0
1.0,BTCBitcoin,BTC,1363205019.9,121.99,11174725,0.35,1.14,5.7,2013/05/19,0.0
2.0,LTCLitecoin,LTC,58760675.05,3.3035,17787454,0.8,0.19,0.98,2013/05/19,0.0
3.0,NMCNamecoin,NMC,4789082.16,0.8576,5584350,0.94,5.72,0.51,2013/05/19,0.0
4.0,PPCPeercoin,PPC,3934412.36,0.2074,18971716,1.26,15.47,14.73,2013/05/19,0.0
5.0,NVCNovacoin,NVC,1020004.7,3.6182,281908,1.48,2.24,1.88,2013/05/19,0.0
6.0,TRCTerracoin,TRC,934991.48,0.3587,2606970,0.88,4.51,6.12,2013/05/19,0.0
7.0,DVCDevcoin,DVC,906212.77,0.0002013,4502170112,0.08,3.91,8.15,2013/05/19,0.0
8.0,FTCFeathercoin,FTC,833818.95,0.1269,6572250,0.34,0.47,0.72,2013/05/19,0.0
9.0,FRCFreicoin,FRC,711435.19,0.03416,20827516,0.34,7.07,7.13,2013/05/19,0.0
10.0,CNCCHNCoin,CNC,485058.81,0.09515,5097714,0.76,4.04,0.39,2013/05/19,0.0
11.0,MNCMincoin,MNC,207096.26,0.1952,1061031,0.35,12.13,17.93,2013/05/19,0.0
12.0,IXCIxcoin,IXC,154515.88,0.01221,12653618,8.43,20.52,0.55,2013/05/19,0.0
13.0,BTBBitBar,BTB,128439.08,42.7,3008,15.43,2.16,21.68,2013/05/19,0.0
14.0,BQCBBQCoin,BQC,123231.29,0.007075,17416812,6.78,5.29,24.13,2013/05/19,0.0
1.0,BTCBitcoin,BTC,1495292967.14,133.48,11202375,1.16,1.74,9.61,2013/05/26,0.0
2.0,LTCLitecoin,LTC,58458016.95,3.2489,17993154,0.37,4.65,1.02,2013/05/26,0.0
3.0,NMCNamecoin,NMC,5251485.27,0.9304,5644600,2.32,1.64,8.05,2013/05/26,0.0
4.0,PPCPeercoin,PPC,3612498.62,0.1895,19059134,6.42,9.94,9.29,2013/05/26,0.0
5.0,NVCNovacoin,NVC,1225595.4,4.3087,284444,2.43,3.43,18.24,2013/05/26,0.0
6.0,DVCDevcoin,DVC,915607.0,0.0002015,4542720000,0.82,1.54,1.0,2013/05/26,0.0
7.0,TRCTerracoin,TRC,842448.9,0.3123,2697190,3.42,9.58,12.35,2013/05/26,0.0
8.0,FRCFreicoin,FRC,687220.0,0.0327,21014232,1.19,5.72,5.5,2013/05/26,0.0
9.0,FTCFeathercoin,FTC,654331.38,0.09878,6624450,2.47,5.59,21.17,2013/05/26,0.0
10.0,CNCCHNCoin,CNC,374915.45,0.07341,5106866,2.95,1.54,22.36,2013/05/26,0.0
11.0,MNCMincoin,MNC,130393.11,0.1218,1070899,9.23,11.89,37.73,2013/05/26,0.0
12.0,IXCIxcoin,IXC,127367.86,0.01007,12653618,1.19,2.98,15.45,2013/05/26,0.0
13.0,BQCBBQCoin,BQC,114258.29,0.006407,17833240,2.35,6.72,11.35,2013/05/26,0.0
14.0,WDCWorldCoin,WDC,61369.21,0.02565,2392562,0.1,10.51,0.0,2013/05/26,0.0
15.0,BTBBitBar,BTB,54030.08,17.36,3113,1.19,2.67,56.63,2013/05/26,0.0
1.0,BTCBitcoin,BTC,1373839383.45,122.29,11234075,1.0,5.23,9.13,2013/06/02,0.0
2.0,LTCLitecoin,LTC,49625738.78,2.7271,18197154,0.85,3.62,16.04,2013/06/02,0.0
3.0,NMCNamecoin,NMC,4038794.14,0.7093,5694100,0.82,5.36,24.94,2013/06/02,0.0
4.0,PPCPeercoin,PPC,2899779.44,0.1516,19122498,1.39,5.69,23.08,2013/06/02,0.0
5.0,NVCNovacoin,NVC,1117980.01,3.9048,286310,0.93,6.74,10.46,2013/06/02,0.0
6.0,DVCDevcoin,DVC,674189.93,0.0001467,4594120192,1.0,0.73,27.32,2013/06/02,0.0
7.0,TRCTerracoin,TRC,662838.49,0.2385,2779550,1.0,11.96,25.29,2013/06/02,0.0
8.0,FTCFeathercoin,FTC,545794.55,0.08194,6661250,2.08,4.83,18.23,2013/06/02,0.0
9.0,FRCFreicoin,FRC,417750.51,0.01981,21086442,1.0,20.39,39.99,2013/06/02,0.0
10.0,CNCCHNCoin,CNC,287451.99,0.05625,5109858,1.0,3.95,26.1,2013/06/02,0.0
11.0,IXCIxcoin,IXC,86656.55,0.006848,12653618,1.0,8.33,33.19,2013/06/02,0.0
12.0,MNCMincoin,MNC,78887.29,0.07338,1075103,1.0,0.24,42.88,2013/06/02,0.0
13.0,BQCBBQCoin,BQC,76751.02,0.004207,18244294,0.7,2.35,35.14,2013/06/02,0.0
14.0,BTBBitBar,BTB,52295.84,15.91,3287,0.97,5.23,11.04,2013/06/02,0.0
1.0,BTCBitcoin,BTC,1126642500.0,100.0,11266425,2.04,8.0,16.89,2013/06/09,0.0
2.0,LTCLitecoin,LTC,43858288.59,2.383,18404654,1.66,7.44,11.8,2013/06/09,0.0
3.0,NMCNamecoin,NMC,3311798.26,0.576,5749650,2.41,6.5,17.73,2013/06/09,0.0
4.0,PPCPeercoin,PPC,2267778.06,0.118,19218458,1.2,1.33,20.4,2013/06/09,0.0
5.0,NVCNovacoin,NVC,953097.98,3.305,288381,1.89,6.48,14.65,2013/06/09,0.0
6.0,FTCFeathercoin,FTC,852774.31,0.126,6768050,0.33,17.16,59.03,2013/06/09,0.0
7.0,TRCTerracoin,TRC,556761.98,0.195,2855190,2.29,3.18,17.77,2013/06/09,0.0
8.0,DVCDevcoin,DVC,538224.93,0.000116,4639869952,2.06,11.04,21.43,2013/06/09,0.0
9.0,FRCFreicoin,FRC,344283.64,0.01613,21345628,2.06,2.76,19.99,2013/06/09,0.0
10.0,CNCCHNCoin,CNC,260701.49,0.051,5111794,1.28,3.96,8.39,2013/06/09,0.0
11.0,BQCBBQCoin,BQC,98890.42,0.0053,18658570,3.87,3.45,27.98,2013/06/09,0.0
12.0,YACYacoin,YAC,98315.19,0.0302,3255470,4.95,0.0,0.0,2013/06/09,0.0
13.0,DGCDigitalcoin,DGC,70346.91,0.0392,1794564,3.1,0.0,0.0,2013/06/09,0.0
14.0,WDCWorldCoin,WDC,60438.16,0.01287,4696050,2.27,0.0,0.0,2013/06/09,0.0
15.0,BTBBitBar,BTB,45586.21,13.1,3479,2.07,9.71,16.29,2013/06/09,0.0
16.0,MNCMincoin,MNC,44972.33,0.0411,1094217,2.06,27.57,42.74,2013/06/09,0.0
17.0,MEMMemecoin,MEM,14865.88,0.001715,8668150,0.13,0.0,0.0,2013/06/09,0.0
