Rank,Name,Symbol,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d,trading_date
1.0,BTCBitcoin,BTC,71206795852.79,4076.63,17467062,5597027439.6,0.24,6.01,5.84,2019/01/06
2.0,ETHEthereum,ETH,16442429109.11,157.75,104233441,3231294371.16,0.5,1.14,14.01,2019/01/06
3.0,XRPXRP,XRP,15028369642.24,0.3684,40794121066,492558794.21,0.2,3.49,0.57,2019/01/06
4.0,BCHBitcoin Cash,BCH,2928444441.06,166.84,17552288,226834845.39,0.27,3.78,3.14,2019/01/06
5.0,EOSEOS,EOS,2605701210.9,2.8753,906245118,867964714.76,0.33,6.14,8.62,2019/01/06
6.0,LTCLitecoin,LTC,2354185201.46,39.3,59904678,809493170.15,0.36,12.13,23.71,2019/01/06
7.0,XLMStellar,XLM,2306881891.24,0.1204,19162756352,93094440.38,0.07,5.54,2.57,2019/01/06
8.0,USDTTether,USDT,1910347640.98,1.0236,1866343584,4224650069.65,0.01,0.63,0.29,2019/01/06
9.0,BSVBitcoin SV,BSV,1586211999.9,90.38,17551311,57596542.72,0.09,2.54,2.3,2019/01/06
10.0,TRXTRON,TRX,1533052180.5,0.023,66641117515,151845151.58,1.27,2.86,15.62,2019/01/06
11.0,ADACardano,ADA,1277183981.11,0.04926,25927070538,51366407.22,0.36,9.03,14.95,2019/01/06
12.0,MIOTAIOTA,MIOTA,1058789309.41,0.3809,2779530283,11081926.63,0.13,2.87,6.22,2019/01/06
13.0,XMRMonero,XMR,916301117.67,54.88,16697487,16838853.81,0.33,9.74,13.75,2019/01/06
14.0,BNBBinance Coin,BNB,836589632.29,6.396,130799308,41574183.39,0.5,5.46,6.3,2019/01/06
15.0,DASHDash,DASH,734199903.57,85.84,8553619,108093795.75,0.53,6.52,5.24,2019/01/06
16.0,XEMNEM,XEM,599643070.52,0.06663,8999999999,12431049.41,0.49,2.96,2.18,2019/01/06
17.0,ETCEthereum Classic,ETC,590704004.74,5.5037,107328788,132701649.39,2.0,6.78,4.65,2019/01/06
18.0,NEONeo,NEO,561765113.28,8.6425,65000000,153043099.98,0.13,10.29,8.0,2019/01/06
19.0,MKRMaker,MKR,379720591.31,521.43,728228,397424.2,1.22,2.35,10.38,2019/01/06
20.0,ZECZcash,ZEC,346091701.27,61.62,5616144,255070881.77,0.06,5.99,3.53,2019/01/06
1.0,BTCBitcoin,BTC,62106461671.35,3552.95,17480237,4681302465.82,0.08,2.97,12.8,2019/01/13
2.0,XRPXRP,XRP,13045216854.28,0.3179,41040405095,452358901.65,0.0,3.26,13.59,2019/01/13
3.0,ETHEthereum,ETH,12199288487.1,116.9,104358579,2268263943.76,0.04,7.13,25.7,2019/01/13
4.0,BCHBitcoin Cash,BCH,2219291824.6,126.35,17564663,182166623.65,1.12,6.25,24.36,2019/01/13
5.0,EOSEOS,EOS,2048265249.27,2.2602,906245118,654710954.68,0.17,6.81,21.2,2019/01/13
6.0,XLMStellar,XLM,1981659222.06,0.1036,19126369243,119389904.42,0.04,2.94,14.09,2019/01/13
7.0,USDTTether,USDT,1967105373.4,1.0201,1928363199,3380321685.87,0.12,0.07,0.29,2019/01/13
8.0,LTCLitecoin,LTC,1820214943.64,30.33,60007950,564244096.21,0.07,6.36,22.4,2019/01/13
9.0,TRXTRON,TRX,1418916137.77,0.02129,66648475827,170493613.49,0.0,9.28,7.68,2019/01/13
10.0,BSVBitcoin SV,BSV,1360198444.65,77.44,17563823,134938585.17,1.76,8.28,14.18,2019/01/13
11.0,ADACardano,ADA,1043328639.9,0.04024,25927070538,21758341.35,0.2,7.76,19.1,2019/01/13
12.0,MIOTAIOTA,MIOTA,818882842.23,0.2946,2779530283,7453979.06,0.15,6.08,22.51,2019/01/13
13.0,BNBBinance Coin,BNB,728389539.4,5.5688,130799308,26590183.32,0.32,6.79,12.55,2019/01/13
14.0,XMRMonero,XMR,719835396.81,43.11,16697487,16719881.72,0.46,4.29,20.51,2019/01/13
15.0,DASHDash,DASH,601912035.98,70.26,8566436,128458986.52,0.11,4.48,18.2,2019/01/13
16.0,XEMNEM,XEM,493580946.86,0.05484,8999999999,13730909.45,0.0,4.38,17.18,2019/01/13
17.0,NEONeo,NEO,468999891.36,7.2154,65000000,114403811.58,0.19,7.0,17.56,2019/01/13
18.0,ETCEthereum Classic,ETC,456169750.47,4.2434,107501675,119300252.27,0.02,7.3,21.43,2019/01/13
19.0,USDCUSD Coin,USDC,372399548.3,1.0111,368307846,16808894.46,0.01,0.08,0.14,2019/01/13
20.0,MKRMaker,MKR,308094621.75,423.07,728228,229375.34,0.41,2.73,18.11,2019/01/13
1.0,BTCBitcoin,BTC,62990143284.1,3601.01,17492337,5582489559.53,0.24,3.49,1.01,2019/01/20
2.0,XRPXRP,XRP,13181215053.67,0.3212,41040405095,407205880.81,0.25,3.05,0.17,2019/01/20
3.0,ETHEthereum,ETH,12483136112.36,119.47,104483398,2964108269.11,0.18,4.17,1.6,2019/01/20
4.0,BCHBitcoin Cash,BCH,2177598900.14,123.89,17577375,269797873.88,0.37,4.84,1.44,2019/01/20
5.0,EOSEOS,EOS,2145396773.07,2.3673,906245118,971352022.39,0.1,4.76,4.1,2019/01/20
6.0,USDTTether,USDT,2050721693.05,1.0171,2016152117,4389435191.33,0.03,0.11,0.41,2019/01/20
7.0,XLMStellar,XLM,2002863078.46,0.1047,19129175285,123424389.82,0.6,3.23,0.13,2019/01/20
8.0,LTCLitecoin,LTC,1873953844.26,31.18,60108075,584024740.86,0.47,4.41,2.0,2019/01/20
9.0,TRXTRON,TRX,1591020869.79,0.02387,66653472407,130983395.35,0.75,2.73,8.39,2019/01/20
10.0,BSVBitcoin SV,BSV,1324247114.63,75.34,17576286,57177839.1,0.4,2.64,2.46,2019/01/20
11.0,ADACardano,ADA,1127226431.18,0.04348,25927070538,26755021.63,0.69,5.12,7.31,2019/01/20
12.0,MIOTAIOTA,MIOTA,839047167.45,0.3019,2779530283,7528260.86,0.4,5.06,2.65,2019/01/20
13.0,BNBBinance Coin,BNB,838848751.24,6.4939,129175490,49479089.8,0.62,2.31,14.76,2019/01/20
14.0,XMRMonero,XMR,738232142.7,44.11,16735001,33574394.38,0.41,4.58,1.94,2019/01/20
15.0,DASHDash,DASH,599612574.23,69.89,8579273,242808317.5,0.0,5.38,1.25,2019/01/20
16.0,XEMNEM,XEM,503473664.42,0.05594,8999999999,13786963.13,0.89,3.1,0.01,2019/01/20
17.0,NEONeo,NEO,493449297.11,7.5915,65000000,155380342.37,0.78,6.29,4.38,2019/01/20
18.0,ETCEthereum Classic,ETC,461528743.97,4.2865,107671273,146017539.99,0.63,2.97,0.51,2019/01/20
19.0,USDCUSD Coin,USDC,327478050.12,1.0167,322108798,14934092.26,0.06,0.52,0.45,2019/01/20
20.0,MKRMaker,MKR,325636994.58,447.16,728228,285724.94,1.32,5.31,5.26,2019/01/20
1.0,BTCBitcoin,BTC,62737274092.74,3583.97,17504987,5570752966.31,0.27,0.57,0.39,2019/01/27
2.0,XRPXRP,XRP,12737591538.84,0.3094,41163466448,362599965.07,0.47,1.76,3.57,2019/01/27
3.0,ETHEthereum,ETH,11861671822.01,113.41,104595400,2775888287.0,0.92,2.6,4.68,2019/01/27
4.0,BCHBitcoin Cash,BCH,2161816591.47,122.9,17589888,201627686.64,0.63,3.42,0.64,2019/01/27
5.0,EOSEOS,EOS,2153656961.61,2.3765,906245118,780419368.9,0.8,2.62,0.51,2019/01/27
6.0,USDTTether,USDT,2034836040.58,1.0087,2017251167,3932642453.36,0.1,0.14,0.85,2019/01/27
7.0,LTCLitecoin,LTC,1962484749.3,32.59,60212150,678149673.48,0.93,1.82,4.51,2019/01/27
8.0,TRXTRON,TRX,1951984410.96,0.02928,66660999286,395857212.87,0.58,2.11,22.41,2019/01/27
9.0,XLMStellar,XLM,1846070963.39,0.09632,19166823282,134988475.98,0.46,3.71,7.73,2019/01/27
10.0,BSVBitcoin SV,BSV,1263392930.85,71.83,17588911,56898464.09,0.45,3.0,4.6,2019/01/27
11.0,ADACardano,ADA,1067363755.41,0.04117,25927070538,20835106.77,0.28,3.53,5.1,2019/01/27
12.0,BNBBinance Coin,BNB,915621568.58,7.0882,129175490,52872346.68,0.25,1.45,8.91,2019/01/27
13.0,XMRMonero,XMR,780207473.11,46.58,16751487,37895259.97,0.06,1.55,5.41,2019/01/27
14.0,MIOTAIOTA,MIOTA,767212408.53,0.276,2779530283,10125439.06,0.65,3.69,9.28,2019/01/27
15.0,DASHDash,DASH,613474381.2,71.4,8592090,162049523.08,0.62,3.54,2.25,2019/01/27
16.0,NEONeo,NEO,482255538.34,7.4193,65000000,120602207.41,0.91,1.33,2.34,2019/01/27
17.0,XEMNEM,XEM,474438962.32,0.05272,8999999999,12643507.8,0.44,3.7,6.17,2019/01/27
18.0,ETCEthereum Classic,ETC,458658538.63,4.2531,107842201,128215640.5,0.87,1.52,1.23,2019/01/27
19.0,USDCUSD Coin,USDC,333585021.91,1.0139,328998264,17334193.18,0.19,0.03,0.29,2019/01/27
20.0,MKRMaker,MKR,315345642.25,433.03,728228,6000949.61,0.32,3.95,3.14,2019/01/27
1.0,BTCBitcoin,BTC,60681847607.58,3464.01,17517787,5043937583.95,0.19,1.15,3.04,2019/02/03
2.0,XRPXRP,XRP,12445862136.99,0.3024,41163466448,438357004.01,0.01,2.08,1.76,2019/02/03
3.0,ETHEthereum,ETH,11254870706.43,107.49,104703610,2519334756.88,0.06,1.83,4.83,2019/02/03
4.0,EOSEOS,EOS,2152844813.25,2.3756,906245118,567625069.06,0.34,0.79,0.06,2019/02/03
5.0,BCHBitcoin Cash,BCH,2091663603.1,118.83,17602425,218977856.15,0.33,1.61,2.39,2019/02/03
6.0,USDTTether,USDT,2020950151.37,1.0,2020855917,3756996123.63,0.18,0.33,0.98,2019/02/03
7.0,LTCLitecoin,LTC,2016740847.84,33.44,60310581,820461890.93,0.29,1.55,2.84,2019/02/03
8.0,TRXTRON,TRX,1696159965.92,0.02544,66668553480,174803441.01,0.31,1.76,11.17,2019/02/03
9.0,XLMStellar,XLM,1559217083.49,0.08135,19167472159,106729577.68,0.25,1.68,14.41,2019/02/03
10.0,BSVBitcoin SV,BSV,1121559772.35,63.72,17601461,58052365.05,0.14,2.46,9.82,2019/02/03
11.0,ADACardano,ADA,985988168.05,0.03803,25927070538,12940762.06,0.2,2.38,6.69,2019/02/03
12.0,BNBBinance Coin,BNB,870405723.23,6.7382,129175490,59942157.91,0.94,1.45,4.05,2019/02/03
13.0,XMRMonero,XMR,719406512.16,42.9,16767882,45359366.11,0.26,0.37,6.83,2019/02/03
14.0,MIOTAIOTA,MIOTA,693384830.13,0.2495,2779530283,5980121.21,0.16,2.58,7.92,2019/02/03
15.0,DASHDash,DASH,576039391.35,66.9,8611031,161289431.32,0.11,1.07,5.84,2019/02/03
16.0,NEONeo,NEO,456476196.3,7.0227,65000000,113281404.73,0.17,2.33,5.12,2019/02/03
17.0,ETCEthereum Classic,ETC,423399621.39,3.9199,108012792,156280488.02,0.03,1.39,6.91,2019/02/03
18.0,XEMNEM,XEM,353382891.86,0.03926,8999999999,13814929.66,0.18,3.89,24.96,2019/02/03
19.0,USDCUSD Coin,USDC,302531642.04,1.0142,298283047,26365349.13,0.06,0.11,0.13,2019/02/03
20.0,WAVESWaves,WAVES,281634095.5,2.8163,100000000,23050834.05,0.54,3.62,3.79,2019/02/03
1.0,BTCBitcoin,BTC,64694025950.73,3690.19,17531362,6282256902.92,0.41,0.54,6.51,2019/02/10
2.0,ETHEthereum,ETH,13080881910.23,124.81,104809313,3148766590.14,2.56,4.59,16.12,2019/02/10
3.0,XRPXRP,XRP,12758715489.78,0.3099,41169202069,495640830.96,0.92,0.17,2.7,2019/02/10
4.0,LTCLitecoin,LTC,2828937241.05,46.83,60412000,1420578822.97,0.52,5.15,39.36,2019/02/10
5.0,EOSEOS,EOS,2572785405.05,2.839,906245118,936574263.38,2.61,2.65,19.32,2019/02/10
6.0,BCHBitcoin Cash,BCH,2247451284.57,127.59,17615088,285347997.97,0.9,0.5,7.4,2019/02/10
7.0,USDTTether,USDT,2029926998.8,1.0042,2021402717,4965113767.7,0.09,0.27,0.24,2019/02/10
8.0,TRXTRON,TRX,1721025028.59,0.02581,66671422606,217842435.92,0.41,1.84,1.44,2019/02/10
9.0,XLMStellar,XLM,1541020269.46,0.08039,19168571323,133339148.83,0.33,0.33,1.62,2019/02/10
10.0,BNBBinance Coin,BNB,1300443647.11,9.2115,141175490,125419865.46,0.21,3.93,36.77,2019/02/10
11.0,BSVBitcoin SV,BSV,1173301756.9,66.61,17613923,80275616.51,2.46,0.76,4.44,2019/02/10
12.0,ADACardano,ADA,1110446759.76,0.04283,25927070538,22634046.98,2.0,4.22,12.61,2019/02/10
13.0,XMRMonero,XMR,836265588.9,49.83,16783157,52351662.03,1.16,2.49,16.13,2019/02/10
14.0,MIOTAIOTA,MIOTA,777847783.58,0.2798,2779530283,13408132.88,1.22,0.82,12.12,2019/02/10
15.0,DASHDash,DASH,651066069.1,75.5,8623852,177539073.12,1.73,1.63,13.08,2019/02/10
16.0,NEONeo,NEO,517438260.5,7.9606,65000000,159699884.66,1.15,4.08,13.29,2019/02/10
17.0,MKRMaker,MKR,461136026.56,461.14,1000000,460412.41,0.38,2.78,22.98,2019/02/10
18.0,ETCEthereum Classic,ETC,451510859.62,4.1735,108184077,185806940.4,1.9,2.32,6.59,2019/02/10
19.0,XEMNEM,XEM,360979001.67,0.04011,8999999999,11827729.35,0.86,0.28,2.06,2019/02/10
20.0,ZECZcash,ZEC,298581547.06,50.89,5866881,177859790.59,1.82,1.23,5.15,2019/02/10
1.0,BTCBitcoin,BTC,64453368778.96,3673.84,17543887,7039512502.62,0.53,1.09,0.33,2019/02/17
2.0,ETHEthereum,ETH,14014695489.54,133.6,104901292,4236081129.54,0.2,8.23,10.81,2019/02/17
3.0,XRPXRP,XRP,12501307769.46,0.3034,41208093050,427237164.5,0.27,0.59,0.77,2019/02/17
4.0,LTCLitecoin,LTC,2658324155.44,43.93,60514975,1089205821.53,0.26,0.71,3.74,2019/02/17
5.0,EOSEOS,EOS,2611983793.64,2.8822,906245118,893315802.6,0.9,2.25,4.42,2019/02/17
6.0,BCHBitcoin Cash,BCH,2197907884.57,124.69,17627538,230868433.27,0.43,2.04,0.42,2019/02/17
7.0,USDTTether,USDT,2023392364.04,1.001,2021459017,5746888553.12,0.1,0.19,0.5,2019/02/17
