Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$1,313,544,012.50",$113.50,"11,573,075 BTC",-0.16%,0.54%,8.50%
2.0,LTCLitecoin,LTC,"$57,197,936.54",$2.7978,"20,444,080 LTC",-0.30%,-0.34%,4.84%
3.0,XRPXRP,XRP,"$43,916,495.73",$0.005617,"7,817,889,792 XRP",-2.00%,-0.88%,27.81%
4.0,NMCNamecoin,NMC,"$4,320,531.60",$0.681,"6,344,393 NMC",-0.33%,0.39%,1.47%
5.0,PPCPeercoin,PPC,"$3,363,135.65",$0.168,"20,021,048 PPC",0.52%,-0.41%,7.53%
6.0,FTCFeathercoin,FTC,"$2,041,295.25",$0.1475,"13,834,600 FTC",-0.42%,0.60%,-3.10%
7.0,NVCNovacoin,NVC,"$1,890,229.07",$5.2664,"358,922 NVC",-0.22%,-0.43%,2.99%
8.0,XPMPrimecoin,XPM,"$1,362,819.31",$0.8285,"1,644,834 XPM",3.97%,-6.99%,-5.98%
9.0,TRCTerracoin,TRC,"$710,540.21",$0.1952,"3,639,690 TRC",-0.16%,0.21%,7.89%
10.0,IFCInfinitecoin,IFC,"$385,870.29",$0.00000528,"73,139,093,504 IFC",-1.24%,35.19%,350.94%
11.0,GLCGoldCoin,GLC,"$327,067.37",$0.01264,"25,879,596 GLC",15.93%,89.61%,469.23%
12.0,DVCDevcoin,DVC,"$289,562.33",$0.00005675,"5,102,419,968 DVC",-0.20%,0.54%,-0.29%
13.0,DGCDigitalcoin,DGC,"$251,720.82",$0.03499,"7,194,824 DGC",15.03%,18.93%,13.00%
14.0,FRCFreicoin,FRC,"$197,891.11",$0.008093,"24,453,494 FRC",-0.16%,16.94%,16.29%
15.0,WDCWorldCoin,WDC,"$132,499.67",$0.008058,"16,442,226 WDC",-0.16%,-2.23%,-2.51%
16.0,YACYacoin,YAC,"$117,999.80",$0.02077,"5,681,125 YAC",-0.16%,-4.14%,-3.64%
17.0,CBXBullion,CBX,"$93,795.56",$0.1475,"635,687 CBX",-4.57%,-14.21%,22.79%
18.0,IXCIxcoin,IXC,"$93,476.22",$0.006305,"14,825,906 IXC",-0.16%,9.36%,10.26%
19.0,MECMegacoin,MEC,"$93,152.95",$0.005903,"15,780,250 MEC",0.40%,3.29%,-4.37%
20.0,MNCMincoin,MNC,"$93,107.61",$0.07378,"1,262,009 MNC",-0.16%,-6.64%,-4.39%
,Phoenixcoin,,,,,,,
,BBQCoin,,,,,,,
,Fastcoin,,,,,,,
,Franko,,,,,,,
,CHNCoin,,,,,,,
,Luckycoin,,,,,,,
,Anoncoin,,,,,,,
,XenCoin,,,,,,,
,Bytecoin,,,,,,,
,Argentum,,,,,,,
,BitBar,,,,,,,
,GlobalCoin,,,,,,,
,AlphaCoin,,,,,,,
,Krugercoin,,,,,,,
,Memecoin,,,,,,,
,CasinoCoin,,,,,,,
,NanoToken,,,,,,,
,Nibble,,,,,,,
,EZCoin,,,,,,,
,CraftCoin,,,,,,,
,Spots,,,,,,,
,StableCoin,,,,,,,
,Emerald Crypto,,,,,,,
,Hypercoin,,,,,,,
,Doubloons,,,,,,,
,Elacoin,,,,,,,
