Rank,Name,Symbol,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$192,442,065,810.22","$10,817.16","17,790,450 BTC","$27,256,473,494.47",-1.67%,-10.14%,-0.04%
2.0,ETHEthereum,ETH,"$31,020,295,932.11",$290.70,"106,710,433 ETH","$10,303,111,000.42",-0.90%,-8.67%,-5.76%
3.0,XRPXRP,XRP,"$16,873,846,275.02",$0.3964,"42,566,596,173 XRP","$1,570,726,856.17",-0.48%,-7.11%,-15.19%
4.0,LTCLitecoin,LTC,"$7,636,046,758.42",$122.25,"62,463,001 LTC","$5,525,273,220.32",0.52%,-8.64%,-11.01%
5.0,BCHBitcoin Cash,BCH,"$7,137,232,211.41",$399.47,"17,866,738 BCH","$1,933,402,677.68",-1.53%,-9.28%,-16.15%
6.0,EOSEOS,EOS,"$5,312,121,571.84",$5.7658,"921,320,682 EOS","$2,701,782,653.61",0.06%,-9.38%,-20.59%
7.0,BNBBinance Coin,BNB,"$4,580,083,462.04",$32.44,"141,175,490 BNB","$286,632,252.04",-1.18%,-7.62%,-12.41%
8.0,USDTTether,USDT,"$3,573,328,668.10",$0.9925,"3,600,378,341 USDT","$27,348,295,158.14",0.11%,-0.67%,-0.37%
9.0,BSVBitcoin SV,BSV,"$3,467,494,146.96",$194.20,"17,854,986 BSV","$474,619,499.19",-0.77%,-9.10%,-17.73%
10.0,TRXTRON,TRX,"$2,129,781,704.92",$0.03194,"66,682,072,191 TRX","$956,413,297.85",-1.32%,-8.99%,-14.91%
11.0,ADACardano,ADA,"$2,128,549,912.33",$0.0821,"25,927,070,538 ADA","$161,855,807.03",-1.20%,-9.25%,-14.83%
12.0,XLMStellar,XLM,"$2,026,374,527.01",$0.1043,"19,419,886,003 XLM","$402,976,986.37",-1.20%,-8.74%,-18.39%
13.0,LEOUNUS SED LEO,LEO,"$1,756,992,667.43",$1.7579,"999,498,893 LEO","$14,967,395.79",-0.14%,-7.47%,-6.16%
14.0,XMRMonero,XMR,"$1,497,868,508.83",$87.74,"17,070,711 XMR","$127,287,723.24",-1.30%,-12.10%,-23.98%
15.0,DASHDash,DASH,"$1,391,438,029.67",$156.47,"8,892,578 DASH","$295,890,300.55",-1.34%,-7.81%,-10.60%
16.0,LINKChainlink,LINK,"$1,206,411,074.63",$3.4469,"350,000,000 LINK","$434,865,871.66",-0.55%,-11.33%,90.40%
17.0,NEONeo,NEO,"$1,179,050,780.64",$16.71,"70,538,831 NEO","$637,139,053.39",-1.04%,-9.21%,-1.25%
18.0,MIOTAIOTA,MIOTA,"$1,089,939,500.62",$0.3921,"2,779,530,283 MIOTA","$19,381,112.03",-0.27%,-7.74%,-13.44%
19.0,ATOMCosmos,ATOM,"$1,032,279,303.96",$5.4134,"190,688,439 ATOM","$83,453,263.96",-1.56%,-10.59%,-20.42%
20.0,ETCEthereum Classic,ETC,"$862,249,986.69",$7.7257,"111,607,976 ETC","$892,040,482.73",-1.47%,-6.47%,-16.09%
,NEM,,,,,,,,
,Zcash,,,,,,,,
,Ontology,,,,,,,,
,Maker,,,,,,,,
,Tezos,,,,,,,,
,Qtum,,,,,,,,
,Bitcoin Gold,,,,,,,,
,Crypto.com Coin,,,,,,,,
,VeChain,,,,,,,,
,Dogecoin,,,,,,,,
,Basic Attention Token,,,,,,,,
,USD Coin,,,,,,,,
,OmiseGO,,,,,,,,
,Decred,,,,,,,,
,v.systems,,,,,,,,
,BitTorrent,,,,,,,,
,Holo,,,,,,,,
,Aurora,,,,,,,,
,TrueUSD,,,,,,,,
,Lisk,,,,,,,,
,Bitcoin Diamond,,,,,,,,
,Huobi Token,,,,,,,,
,Ravencoin,,,,,,,,
,HyperCash,,,,,,,,
,Pundi X,,,,,,,,
,Egretia,,,,,,,,
,HedgeTrade,,,,,,,,
,Waves,,,,,,,,
,0x,,,,,,,,
,Augur,,,,,,,,
,Qubitica,,,,,,,,
,BitShares,,,,,,,,
,Paxos Standard,,,,,,,,
,Bytecoin,,,,,,,,
,Nano,,,,,,,,
,MonaCoin,,,,,,,,
,Bytom,,,,,,,,
,Komodo,,,,,,,,
,IOST,,,,,,,,
,ICON,,,,,,,,
,Zilliqa,,,,,,,,
,ThoreCoin,,,,,,,,
,DigiByte,,,,,,,,
,KuCoin Shares,,,,,,,,
,Energi,,,,,,,,
,Siacoin,,,,,,,,
,Metaverse ETP,,,,,,,,
,Aeternity,,,,,,,,
,ABBC Coin,,,,,,,,
,Mixin,,,,,,,,
,Verge,,,,,,,,
,GXChain,,,,,,,,
,Steem,,,,,,,,
,Ardor,,,,,,,,
,Insight Chain,,,,,,,,
,Dent,,,,,,,,
,VestChain,,,,,,,,
,Lambda,,,,,,,,
,THETA,,,,,,,,
,aelf,,,,,,,,
,MaidSafeCoin,,,,,,,,
,Enjin Coin,,,,,,,,
,Status,,,,,,,,
,MCO,,,,,,,,
,Golem,,,,,,,,
,Nash Exchange,,,,,,,,
,Zcoin,,,,,,,,
,EDUCare,,,,,,,,
,Single Collateral DAI,,,,,,,,
,Stratis,,,,,,,,
,Quant,,,,,,,,
,SOLVE,,,,,,,,
,WAX,,,,,,,,
,Elastos,,,,,,,,
,Maximine Coin,,,,,,,,
,Nebulas,,,,,,,,
,Project Pai,,,,,,,,
,Santiment Network Token,,,,,,,,
,Grin,,,,,,,,
,Nexo,,,,,,,,
,Horizen,,,,,,,,
,Clipper Coin,,,,,,,,
,Revain,,,,,,,,
,NULS,,,,,,,,
,NEXT,,,,,,,,
,Waltonchain,,,,,,,,
,ODEM,,,,,,,,
,Cryptonex,,,,,,,,
,Ren,,,,,,,,
,ReddCoin,,,,,,,,
,Ignis,,,,,,,,
,DigixDAO,,,,,,,,
,Decentraland,,,,,,,,
,LATOKEN,,,,,,,,
,QASH,,,,,,,,
,Ark,,,,,,,,
,Factom,,,,,,,,
,TrueChain,,,,,,,,
,Loom Network,,,,,,,,
,WaykiChain,,,,,,,,
,QuarkChain,,,,,,,,
,Celer Network,,,,,,,,
,Orbs,,,,,,,,
,Loopring,,,,,,,,
,Matic Network,,,,,,,,
,Fantom,,,,,,,,
,Buggyra Coin Zero,,,,,,,,
,Harmony,,,,,,,,
,Fusion,,,,,,,,
,XMax,,,,,,,,
,Thunder Token,,,,,,,,
,U Network,,,,,,,,
,Bancor,,,,,,,,
,Electroneum,,,,,,,,
,REPO,,,,,,,,
,Power Ledger,,,,,,,,
,Beam,,,,,,,,
,Kyber Network,,,,,,,,
,Ether Zero,,,,,,,,
,Bibox Token,,,,,,,,
,Japan Content Token,,,,,,,,
,Enigma,,,,,,,,
,Aion,,,,,,,,
,Ecoreal Estate,,,,,,,,
,IPChain,,,,,,,,
,Wanchain,,,,,,,,
,STASIS EURO,,,,,,,,
,Cortex,,,,,,,,
,Polymath,,,,,,,,
,TomoChain,,,,,,,,
,Theta Fuel,,,,,,,,
,Arcblock,,,,,,,,
,PIVX,,,,,,,,
,Storj,,,,,,,,
,Newton,,,,,,,,
,MOAC,,,,,,,,
,RSK Infrastructure Framework,,,,,,,,
,HYCON,,,,,,,,
,Digitex Futures,,,,,,,,
,IHT Real Estate Protocol,,,,,,,,
,Populous,,,,,,,,
,Gas,,,,,,,,
,CyberMiles,,,,,,,,
,FunFair,,,,,,,,
,CRYPTO20,,,,,,,,
,Veritaseum,,,,,,,,
,Nxt,,,,,,,,
,Synthetix Network Token,,,,,,,,
,Centrality,,,,,,,,
,iExec RLC,,,,,,,,
,Bread,,,,,,,,
,CasinoCoin,,,,,,,,
,LINA,,,,,,,,
,Skycoin,,,,,,,,
,IoTeX,,,,,,,,
,Hyperion,,,,,,,,
,INO COIN,,,,,,,,
,Groestlcoin,,,,,,,,
,Apollo Currency,,,,,,,,
,Metadium,,,,,,,,
,ContentBox,,,,,,,,
,Iconomi,,,,,,,,
,Ruff,,,,,,,,
,UGAS,,,,,,,,
,Vertcoin,,,,,,,,
,Eidoo,,,,,,,,
,Syscoin,,,,,,,,
,Tierion,,,,,,,,
,Gnosis,,,,,,,,
,BHPCoin,,,,,,,,
,Civic,,,,,,,,
,Metal,,,,,,,,
,BTU Protocol,,,,,,,,
,MediBloc [ERC20],,,,,,,,
,Obyte,,,,,,,,
,Einsteinium,,,,,,,,
,Mithril,,,,,,,,
,TenX,,,,,,,,
,IoT Chain,,,,,,,,
,Cred,,,,,,,,
