Equipo;Logo
LaLiga;https://img.sofascore.com/api/v1/unique-tournament/8/image/dark
Spain;https://img.sofascore.com/api/v1/country/ES/flag
Barcelona;https://upload.wikimedia.org/wikipedia/en/4/47/FC_Barcelona_%28crest%29.svg
Real Madrid;https://upload.wikimedia.org/wikipedia/en/5/56/Real_Madrid_CF.svg
Villarreal;https://upload.wikimedia.org/wikipedia/en/7/70/Villarreal_CF_logo.svg
Atlético Madrid;https://upload.wikimedia.org/wikipedia/en/c/ce/Atletico_Madrid_2017_logo.svg
Real Betis;https://upload.wikimedia.org/wikipedia/en/5/5e/Real_Betis_logo.svg
Espanyol;https://upload.wikimedia.org/wikipedia/en/0/0f/Rcd_espanyol_logo.svg
Athletic Club;https://upload.wikimedia.org/wikipedia/en/9/9c/Athletic_Club_Bilbao_logo.svg
Getafe;https://upload.wikimedia.org/wikipedia/en/5/56/Getafe_logo.svg
Deportivo Alavés;https://upload.wikimedia.org/wikipedia/en/2/2e/Deportivo_Alav%C3%A9s_logo_%282020%29.svg
Rayo Vallecano;https://upload.wikimedia.org/wikipedia/en/6/6f/Rayo_vallecano_logo.svg
Elche;https://upload.wikimedia.org/wikipedia/en/5/5f/Elche_CF_logo.svg
Real Sociedad;https://upload.wikimedia.org/wikipedia/en/f/f1/Real_Sociedad_logo.svg
Celta Vigo;https://upload.wikimedia.org/wikipedia/en/1/1d/Celta_Vigo_logo.svg
Sevilla;https://upload.wikimedia.org/wikipedia/en/8/86/Sevilla_FC_logo.svg
Mallorca;https://upload.wikimedia.org/wikipedia/en/6/6f/RCD_Mallorca_logo.svg
Valencia;https://upload.wikimedia.org/wikipedia/en/c/ce/Valencia_CF_logo.svg
Osasuna;https://upload.wikimedia.org/wikipedia/en/5/5f/Osasuna_logo.svg
Girona FC;https://upload.wikimedia.org/wikipedia/en/7/70/Girona_FC_Logo.svg
Real Oviedo;https://upload.wikimedia.org/wikipedia/en/1/12/Real_Oviedo_logo.svg
Levante UD;https://upload.wikimedia.org/wikipedia/en/1/1b/Levante_ud_2009.svg

